0,0,0,4,4,4,
4,0,0,4,4,4,
8,0,0,4,4,4,
12,0,0,4,4,4,
16,0,0,4,4,4,
20,0,0,4,4,4,
24,0,0,4,4,4,
28,0,0,4,4,4,
32,0,0,4,4,4,
36,0,0,4,4,4,
40,0,0,4,4,4,
44,0,0,4,4,4,
48,0,0,4,4,4,
52,0,0,4,4,4,
56,0,0,4,4,4,
60,0,0,4,4,4,
0,4,0,4,4,4,
4,4,0,4,4,4,
8,4,0,4,4,4,
12,4,0,4,4,4,
16,4,0,4,4,4,
20,4,0,4,4,4,
24,4,0,4,4,4,
28,4,0,4,4,4,
32,4,0,4,4,4,
36,4,0,4,4,4,
40,4,0,4,4,4,
44,4,0,4,4,4,
48,4,0,4,4,4,
52,4,0,4,4,4,
56,4,0,4,4,4,
60,4,0,4,4,4,
0,8,0,4,4,4,
4,8,0,4,4,4,
8,8,0,4,4,4,
12,8,0,4,4,4,
16,8,0,4,4,4,
20,8,0,4,4,4,
24,8,0,4,4,4,
28,8,0,4,4,4,
32,8,0,4,4,4,
36,8,0,4,4,4,
40,8,0,4,4,4,
44,8,0,4,4,4,
48,8,0,4,4,4,
52,8,0,4,4,4,
56,8,0,4,4,4,
60,8,0,4,4,4,
0,12,0,4,4,4,
4,12,0,4,4,4,
8,12,0,4,4,4,
12,12,0,4,4,4,
16,12,0,4,4,4,
20,12,0,4,4,4,
24,12,0,4,4,4,
28,12,0,4,4,4,
32,12,0,4,4,4,
36,12,0,4,4,4,
40,12,0,4,4,4,
44,12,0,2,2,2,
46,12,0,2,2,2,
44,14,0,2,2,2,
46,14,0,2,2,2,
44,12,2,2,2,2,
46,12,2,2,2,2,
44,14,2,2,2,2,
46,14,2,1,1,1,sea
47,14,2,1,1,1,sea
46,15,2,1,1,1,sea
47,15,2,1,1,1,sea
46,14,3,1,1,1,sea
47,14,3,1,1,1,sea
46,15,3,1,1,1,VIC
47,15,3,1,1,1,VIC
48,12,0,2,2,2,
50,12,0,2,2,2,
48,14,0,2,2,2,
50,14,0,2,2,2,
48,12,2,2,2,2,
50,12,2,2,2,2,
48,14,2,1,1,1,sea
49,14,2,1,1,1,sea
48,15,2,1,1,1,sea
49,15,2,1,1,1,sea
48,14,3,1,1,1,sea
49,14,3,1,1,1,sea
48,15,3,1,1,1,sea
49,15,3,1,1,1,VIC
50,14,2,1,1,1,sea
51,14,2,1,1,1,sea
50,15,2,1,1,1,VIC
51,15,2,1,1,1,sea
50,14,3,1,1,1,VIC
51,14,3,1,1,1,sea
50,15,3,1,1,1,VIC
51,15,3,1,1,1,NSW
52,12,0,4,4,4,
56,12,0,4,4,4,
60,12,0,4,4,4,
0,16,0,4,4,4,
4,16,0,4,4,4,
8,16,0,2,2,2,
10,16,0,2,2,2,
8,18,0,2,2,2,
10,18,0,2,2,2,
8,16,2,2,2,2,
10,16,2,2,2,2,
8,18,2,2,2,2,
10,18,2,1,1,1,sea
11,18,2,1,1,1,sea
10,19,2,1,1,1,sea
11,19,2,1,1,1,sea
10,18,3,1,1,1,sea
11,18,3,1,1,1,sea
10,19,3,1,1,1,sea
11,19,3,1,1,1,WA
12,16,0,4,4,4,
16,16,0,4,4,4,
20,16,0,4,4,4,
24,16,0,4,4,4,
28,16,0,4,4,4,
32,16,0,4,4,4,
36,16,0,4,4,4,
40,16,0,2,2,2,
42,16,0,2,2,2,
40,18,0,2,2,2,
42,18,0,2,2,2,
40,16,2,2,2,2,
42,16,2,2,2,2,
40,18,2,2,2,2,
42,18,2,1,1,1,sea
43,18,2,1,1,1,sea
42,19,2,1,1,1,sea
43,19,2,1,1,1,sea
42,18,3,1,1,1,sea
43,18,3,1,1,1,sea
42,19,3,1,1,1,sea
43,19,3,1,1,1,SA
44,16,0,2,2,2,
46,16,0,1,1,1,sea
47,16,0,1,1,1,sea
46,17,0,1,1,1,sea
47,17,0,1,1,1,sea
46,16,1,1,1,1,sea
47,16,1,1,1,1,sea
46,17,1,1,1,1,sea
47,17,1,1,1,1,NSW
44,18,0,1,1,1,sea
45,18,0,1,1,1,sea
44,19,0,1,1,1,sea
45,19,0,1,1,1,sea
44,18,1,1,1,1,sea
45,18,1,1,1,1,sea
44,19,1,1,1,1,sea
45,19,1,1,1,1,NSW
46,18,0,1,1,1,sea
47,18,0,1,1,1,NSW
46,19,0,1,1,1,NSW
47,19,0,1,1,1,NSW
46,18,1,1,1,1,NSW
47,18,1,1,1,1,NSW
46,19,1,1,1,1,NSW
47,19,1,1,1,1,NSW
44,16,2,1,1,1,sea
45,16,2,1,1,1,sea
44,17,2,1,1,1,sea
45,17,2,1,1,1,sea
44,16,3,1,1,1,sea
45,16,3,1,1,1,VIC
44,17,3,1,1,1,sea
45,17,3,1,1,1,VIC
46,16,2,1,1,1,VIC
47,16,2,1,1,1,VIC
46,17,2,1,1,1,VIC
47,17,2,1,1,1,NSW
46,16,3,1,1,1,VIC
47,16,3,1,1,1,VIC
46,17,3,1,1,1,VIC
47,17,3,1,1,1,NSW
44,18,2,1,1,1,sea
45,18,2,1,1,1,VIC
44,19,2,1,1,1,NSW
45,19,2,1,1,1,NSW
44,18,3,1,1,1,VIC
45,18,3,1,1,1,VIC
44,19,3,1,1,1,NSW
45,19,3,1,1,1,NSW
46,18,2,2,2,2,
48,16,0,1,1,1,sea
49,16,0,1,1,1,sea
48,17,0,1,1,1,sea
49,17,0,1,1,1,sea
48,16,1,1,1,1,sea
49,16,1,1,1,1,sea
48,17,1,1,1,1,sea
49,17,1,1,1,1,NSW
50,16,0,1,1,1,sea
51,16,0,1,1,1,sea
50,17,0,1,1,1,NSW
51,17,0,1,1,1,sea
50,16,1,1,1,1,NSW
51,16,1,1,1,1,sea
50,17,1,1,1,1,NSW
51,17,1,1,1,1,NSW
48,18,0,1,1,1,sea
49,18,0,1,1,1,NSW
48,19,0,1,1,1,NSW
49,19,0,1,1,1,NSW
48,18,1,1,1,1,NSW
49,18,1,1,1,1,NSW
48,19,1,1,1,1,NSW
49,19,1,1,1,1,NSW
50,18,0,2,2,2,
48,16,2,1,1,1,sea
49,16,2,1,1,1,NSW
48,17,2,1,1,1,NSW
49,17,2,1,1,1,NSW
48,16,3,1,1,1,NSW
49,16,3,1,1,1,NSW
48,17,3,1,1,1,NSW
49,17,3,1,1,1,NSW
50,16,2,2,2,2,
48,18,2,2,2,2,
50,18,2,2,2,2,
52,16,0,2,2,2,
54,16,0,2,2,2,
52,18,0,1,1,1,sea
